trade_date,open,high,low,close,vol,amount
2017-01-26 00:00:00,3313.953,3395.885,3264.207,3387.961,1.47119E+11,1.49459E+12
2017-02-28 00:00:00,3390.932,3492.962,3347.43,3452.81,1.76891E+11,1.83539E+12
2017-03-31 00:00:00,3452.206,3505.979,3412.688,3456.046,2.13505E+11,2.45152E+12
2017-04-28 00:00:00,3476.423,3526.815,3399.539,3439.753,2.28922E+11,2.49863E+12
2017-05-31 00:00:00,3427.917,3515.081,3312.892,3492.885,1.97007E+11,2.11329E+12
2017-06-30 00:00:00,3485.222,3676.533,3460.453,3666.798,2.01995E+11,2.49575E+12
2017-07-31 00:00:00,3667.232,3755.19,3610.459,3737.873,2.61505E+11,3.04412E+12
2017-08-31 00:00:00,3738.736,3866.942,3645.095,3822.093,2.93975E+11,3.43131E+12
2017-09-29 00:00:00,3825.339,3865.294,3808.383,3836.501,2.39731E+11,3.00022E+12
2017-10-31 00:00:00,3910.115,4033.339,3855.467,4006.718,1.80693E+11,2.31035E+12
2017-11-30 00:00:00,4007.912,4260.64,3963.026,4006.099,3.09364E+11,4.1476E+12
2017-12-29 00:00:00,4003.56,4086.934,3955.44,4030.855,1.98532E+11,2.74112E+12
2018-01-31 00:00:00,4045.209,4403.338,4045.209,4275.899,3.65182E+11,4.79317E+12
2018-02-28 00:00:00,4276.343,4287.389,3759.146,4023.642,2.15933E+11,2.78969E+12
2018-03-30 00:00:00,3994.869,4139.526,3794.262,3898.498,2.343E+11,3.18259E+12
2018-04-27 00:00:00,3897.005,3958.707,3708.107,3756.877,1.70584E+11,2.30943E+12
2018-05-31 00:00:00,3769.925,3937.461,3722.072,3802.376,1.72721E+11,2.41217E+12
2018-06-29 00:00:00,3789.672,3859.848,3416.948,3510.985,1.64808E+11,2.228E+12
2018-07-31 00:00:00,3504.457,3596.513,3295.73,3517.657,1.86057E+11,2.30908E+12
2018-08-31 00:00:00,3530.03,3543.606,3209.012,3334.504,1.72448E+11,2.10796E+12
2018-09-28 00:00:00,3320.69,3448.26,3191.398,3438.865,1.32963E+11,1.62226E+12
2018-10-31 00:00:00,3361.559,3364.464,3009.498,3153.823,1.74175E+11,1.94189E+12
2018-11-30 00:00:00,3185.202,3294.603,3126.289,3172.69,2.08607E+11,2.22647E+12
2018-12-28 00:00:00,3260.686,3273.64,2964.875,3010.654,1.42704E+11,1.62074E+12
2019-01-31 00:00:00,3017.067,3228.868,2935.83,3201.633,1.80781E+11,1.9479E+12
2019-02-28 00:00:00,3225.734,3762.113,3207.717,3669.37,2.81008E+11,2.95861E+12
2019-03-29 00:00:00,3699.216,3886.58,3650.813,3872.341,4.63174E+11,5.44893E+12
2019-04-30 00:00:00,3901.17,4126.091,3875.452,3913.211,3.86448E+11,4.96518E+12
2019-05-31 00:00:00,3775.077,3791.612,3556.257,3629.789,2.25547E+11,2.87601E+12
2019-06-28 00:00:00,3640.613,3856.086,3557.017,3825.587,2.00302E+11,2.59089E+12
2019-07-31 00:00:00,3899.331,3942.426,3745.855,3835.359,2.12872E+11,2.92477E+12
2019-08-30 00:00:00,3819.324,3848.236,3575.863,3799.586,2.10042E+11,2.97041E+12
2019-09-30 00:00:00,3803.689,3985.239,3799.817,3814.528,2.16713E+11,3.15105E+12
2019-10-31 00:00:00,3818.589,3983.812,3805.067,3886.752,1.46957E+11,2.23498E+12
2019-11-29 00:00:00,3883.808,4030.638,3804.829,3828.671,1.84684E+11,2.64337E+12
2019-12-31 00:00:00,3835.513,4098.144,3811.628,4096.582,2.50601E+11,3.37741E+12
2020-01-23 00:00:00,4121.349,4223.508,3972.393,4003.901,2.14994E+11,3.27003E+12
2020-02-28 00:00:00,3639.909,4184.438,3639.909,3940.049,3.65562E+11,5.49466E+12
2020-03-31 00:00:00,3968.844,4215.851,3503.187,3686.155,3.67401E+11,5.50229E+12
2020-04-30 00:00:00,3682.297,3921.7,3652.317,3912.577,2.24306E+11,3.39313E+12
2020-05-29 00:00:00,3867.259,3998.097,3800.18,3867.023,1.7855E+11,2.82895E+12
2020-06-30 00:00:00,3901.726,4174.424,3901.726,4163.964,2.55367E+11,4.03716E+12
2020-07-31 00:00:00,4172.643,4878.077,4163.495,4695.046,5.94622E+11,1.00261E+13
2020-08-31 00:00:00,4735.899,4901.212,4566.274,4816.215,3.88066E+11,6.81222E+12
2020-09-30 00:00:00,4803.392,4877.012,4554.72,4587.395,2.66821E+11,4.82306E+12
2020-10-30 00:00:00,4663.61,4849.605,4639.302,4695.334,1.82789E+11,3.57669E+12
2020-11-30 00:00:00,4702.746,5055.192,4695.444,4960.252,3.29939E+11,5.93036E+12
2020-12-31 00:00:00,4963.13,5215.618,4849.355,5211.289,3.29345E+11,6.33188E+12
2021-01-29 00:00:00,5212.931,5655.48,5190.937,5351.965,4.13463E+11,9.08134E+12
2021-02-26 00:00:00,5356.854,5930.912,5318.858,5336.761,3.00663E+11,6.31077E+12
2021-03-31 00:00:00,5389.25,5454.969,4883.662,5048.361,4.01438E+11,7.04902E+12
2021-04-30 00:00:00,5059.936,5181.149,4900.303,5123.489,2.75496E+11,5.30565E+12
2021-05-31 00:00:00,5098.801,5378.476,4925.915,5331.57,2.66302E+11,5.32965E+12
2021-06-30 00:00:00,5320.475,5352.64,5058.57,5224.041,2.84792E+11,6.58794E+12
2021-07-30 00:00:00,5241.204,5252.264,4663.901,4811.17,3.79034E+11,8.49885E+12
2021-08-31 00:00:00,4794.819,5059.789,4720.826,4805.61,4.10299E+11,8.88056E+12
2021-09-30 00:00:00,4804.686,5042.799,4763.299,4866.383,4.61322E+11,8.04089E+12
