Date,PMI
2013-05-31 00:00:00,50.8
2013-06-30 00:00:00,50.1
2013-07-31 00:00:00,50.3
2013-08-31 00:00:00,51
2013-09-30 00:00:00,51.1
2013-10-31 00:00:00,51.4
2013-11-30 00:00:00,51.4
2013-12-31 00:00:00,51
2014-01-31 00:00:00,50.5
2014-02-28 00:00:00,50.2
2014-03-31 00:00:00,50.3
2014-04-30 00:00:00,50.4
2014-05-31 00:00:00,50.8
2014-06-30 00:00:00,51
2014-07-31 00:00:00,51.7
2014-08-31 00:00:00,51.1
2014-09-30 00:00:00,51.1
2014-10-31 00:00:00,50.8
2014-11-30 00:00:00,50.3
2014-12-31 00:00:00,50.1
2015-01-31 00:00:00,49.8
2015-02-28 00:00:00,49.9
2015-03-31 00:00:00,50.1
2015-04-30 00:00:00,50.1
2015-05-31 00:00:00,50.2
2015-06-30 00:00:00,50.2
2015-07-31 00:00:00,50
2015-08-31 00:00:00,49.7
2015-09-30 00:00:00,49.8
2015-10-31 00:00:00,49.8
2015-11-30 00:00:00,49.6
2015-12-31 00:00:00,49.7
2016-01-31 00:00:00,49.4
2016-02-29 00:00:00,49
2016-03-31 00:00:00,50.2
2016-04-30 00:00:00,50.1
2016-05-31 00:00:00,50.1
2016-06-30 00:00:00,50
2016-07-31 00:00:00,49.9
2016-08-31 00:00:00,50.4
2016-09-30 00:00:00,50.4
2016-10-31 00:00:00,51.2
2016-11-30 00:00:00,51.7
2016-12-31 00:00:00,51.4
2017-01-31 00:00:00,51.3
2017-02-28 00:00:00,51.6
2017-03-31 00:00:00,51.8
2017-04-30 00:00:00,51.2
2017-05-31 00:00:00,51.2
2017-06-30 00:00:00,51.7
2017-07-31 00:00:00,51.4
2017-08-31 00:00:00,51.7
2017-09-30 00:00:00,52.4
2017-10-31 00:00:00,51.6
2017-11-30 00:00:00,51.8
2017-12-31 00:00:00,51.6
2018-01-31 00:00:00,51.3
2018-02-28 00:00:00,50.3
2018-03-31 00:00:00,51.5
2018-04-30 00:00:00,51.4
2018-05-31 00:00:00,51.9
2018-06-30 00:00:00,51.5
2018-07-31 00:00:00,51.2
2018-08-31 00:00:00,51.3
2018-09-30 00:00:00,50.8
2018-10-31 00:00:00,50.2
2018-11-30 00:00:00,50
2018-12-31 00:00:00,49.4
2019-01-31 00:00:00,49.5
2019-02-28 00:00:00,49.2
2019-03-31 00:00:00,50.5
2019-04-30 00:00:00,50.1
2019-05-31 00:00:00,49.4
2019-06-30 00:00:00,49.4
2019-07-31 00:00:00,49.7
2019-08-31 00:00:00,49.5
2019-09-30 00:00:00,49.8
2019-10-31 00:00:00,49.3
2019-11-30 00:00:00,50.2
2019-12-31 00:00:00,50.2
2020-01-31 00:00:00,50
2020-02-29 00:00:00,35.7
2020-03-31 00:00:00,52
2020-04-30 00:00:00,50.8
2020-05-31 00:00:00,50.6
2020-06-30 00:00:00,50.9
2020-07-31 00:00:00,51.1
2020-08-31 00:00:00,51
2020-09-30 00:00:00,51.5
2020-10-31 00:00:00,51.4
2020-11-30 00:00:00,52.1
2020-12-31 00:00:00,51.9
2021-01-31 00:00:00,51.3
2021-02-28 00:00:00,50.6
2021-03-31 00:00:00,51.9
2021-04-30 00:00:00,51.1
2021-05-31 00:00:00,51
2021-06-30 00:00:00,50.9
2021-07-31 00:00:00,50.4
2021-08-31 00:00:00,50.1
2021-09-30 00:00:00,49.6
2021-10-31 00:00:00,49.2
2021-11-30 00:00:00,50.1
2021-12-31 00:00:00,50.3
2022-01-31 00:00:00,50.1
2022-02-28 00:00:00,50.2
2022-03-31 00:00:00,49.5
2022-04-30 00:00:00,47.4
2022-05-31 00:00:00,49.6
2022-06-30 00:00:00,50.2
2022-07-31 00:00:00,49
2022-08-31 00:00:00,49.4
2022-09-30 00:00:00,50.1
2022-10-31 00:00:00,49.2
2022-11-30 00:00:00,48
2022-12-31 00:00:00,47
2023-01-31 00:00:00,50.1
2023-02-28 00:00:00,52.6
2023-03-31 00:00:00,51.9
2023-04-30 00:00:00,49.2
2023-05-31 00:00:00,48.8
2023-06-30 00:00:00,49
2023-07-31 00:00:00,49.3
2023-08-31 00:00:00,49.7
2023-09-30 00:00:00,50.2
2023-10-31 00:00:00,49.5
2023-11-30 00:00:00,49.4
2023-12-31 00:00:00,49
2024-01-31 00:00:00,49.2
2024-02-29 00:00:00,49.1
2024-03-31 00:00:00,50.8
2024-04-30 00:00:00,50.4
2024-05-31 00:00:00,49.5
2024-06-30 00:00:00,49.5
2024-07-31 00:00:00,49.4
2024-08-31 00:00:00,49.1
2024-09-30 00:00:00,49.8
2024-10-31 00:00:00,50.1
2024-11-30 00:00:00,50.3
2024-12-31 00:00:00,50.1
2025-01-31 00:00:00,49.1
2025-02-28 00:00:00,50.2
2025-03-31 00:00:00,50.5
2025-04-30 00:00:00,49
2025-05-31 00:00:00,49.5
2025-06-30 00:00:00,49.7
2025-07-31 00:00:00,49.3
2025-08-31 00:00:00,49.4
2025-09-30 00:00:00,49.8
2025-10-31 00:00:00,49
2025-11-30 00:00:00,49.2
2025-12-31 00:00:00,50.1
2026-01-31 00:00:00,49.3
2026-02-28 00:00:00,49
2026-03-31 00:00:00,50.4
2026-04-30 00:00:00,50.3
2026-05-31 00:00:00,50
