Date,PE
2014-10-31 00:00:00,11.81
2014-11-30 00:00:00,13.15
2014-12-31 00:00:00,15.99
2015-01-31 00:00:00,15.94
2015-02-28 00:00:00,16.57
2015-03-31 00:00:00,18.96
2015-04-30 00:00:00,22.55
2015-05-31 00:00:00,21.93
2015-06-30 00:00:00,20.93
2015-07-31 00:00:00,18.04
2015-08-31 00:00:00,15.82
2015-09-30 00:00:00,15.11
2015-10-31 00:00:00,16.7
2015-11-30 00:00:00,17.06
2015-12-31 00:00:00,17.63
2016-01-31 00:00:00,14.72
2016-02-29 00:00:00,14.512534
2016-03-31 00:00:00,16.28
2016-04-30 00:00:00,15.99
2016-05-31 00:00:00,14.35
2016-06-30 00:00:00,14.46
2016-07-31 00:00:00,14.8
2016-08-31 00:00:00,15.45
2016-09-30 00:00:00,15.12
2016-10-31 00:00:00,15.76
2016-11-30 00:00:00,16.58
2016-12-31 00:00:00,15.94
2017-01-31 00:00:00,16.34
2017-02-28 00:00:00,16.85
2017-03-31 00:00:00,16.87
2017-04-30 00:00:00,16.7
2017-05-31 00:00:00,16.5
2017-06-30 00:00:00,17
2017-07-31 00:00:00,17.48
2017-08-31 00:00:00,18
2017-09-30 00:00:00,18.02
2017-10-31 00:00:00,18.37
2017-11-30 00:00:00,18.11
2017-12-31 00:00:00,18.16
2018-01-31 00:00:00,19.25
2018-02-28 00:00:00,18.29
2018-03-31 00:00:00,17.77
2018-04-30 00:00:00,17.31
2018-05-31 00:00:00,15.17
2018-06-30 00:00:00,14.07
2018-07-31 00:00:00,14.29
2018-08-31 00:00:00,13.58
2018-09-30 00:00:00,14.07
2018-10-31 00:00:00,13
2018-11-30 00:00:00,12.96
2018-12-31 00:00:00,12.49
2019-01-31 00:00:00,12.99
2019-02-28 00:00:00,14.8
2019-03-31 00:00:00,15.51
2019-04-30 00:00:00,15.45
2019-05-31 00:00:00,13.41
2019-06-30 00:00:00,13.82
2019-07-31 00:00:00,13.88
2019-08-31 00:00:00,13.69
2019-09-30 00:00:00,13.82
2019-10-31 00:00:00,13.93
2019-11-30 00:00:00,13.72
2019-12-31 00:00:00,14.55
2020-01-31 00:00:00,14.42
2020-02-29 00:00:00,14.08
2020-03-31 00:00:00,13.44
2020-04-30 00:00:00,14.07
2020-05-31 00:00:00,13.09
2020-06-30 00:00:00,13.9
2020-07-31 00:00:00,15.58
2020-08-31 00:00:00,16.03
2020-09-30 00:00:00,15.28
2020-10-31 00:00:00,15.37
2020-11-30 00:00:00,16.27
2020-12-31 00:00:00,16.76
2021-01-31 00:00:00,16.82
2021-02-28 00:00:00,16.94
2021-03-31 00:00:00,16.63
2021-04-30 00:00:00,16.74
2021-05-31 00:00:00,17.29
2021-06-30 00:00:00,17.39
2021-07-31 00:00:00,16.6
2021-08-31 00:00:00,17.37
2021-09-30 00:00:00,17.47
2021-10-31 00:00:00,17.37
2021-11-30 00:00:00,17.63
2021-12-31 00:00:00,18.02
2022-01-31 00:00:00,16.63
2022-02-28 00:00:00,17.16
2022-03-31 00:00:00,16.13
2022-04-30 00:00:00,15.14
2022-05-31 00:00:00,12.83
2022-06-30 00:00:00,13.73
2022-07-31 00:00:00,13.22
2022-08-31 00:00:00,13.11
2022-09-30 00:00:00,12.45
2022-10-31 00:00:00,11.96
2022-11-30 00:00:00,12.99
2022-12-31 00:00:00,12.78
2023-01-31 00:00:00,13.51
2023-02-28 00:00:00,13.63
2023-03-31 00:00:00,13.64
2023-04-30 00:00:00,13.92
2023-05-31 00:00:00,12.73
2023-06-30 00:00:00,12.76
2023-07-31 00:00:00,13.09
2023-08-31 00:00:00,12.49
2023-09-30 00:00:00,12.46
2023-10-31 00:00:00,12.06
2023-11-30 00:00:00,12.11
2023-12-31 00:00:00,11.92
2024-01-31 00:00:00,11.2
2024-02-29 00:00:00,12.12
2024-03-31 00:00:00,12.22
2024-04-30 00:00:00,12.5
2024-05-31 00:00:00,13.18
2024-06-30 00:00:00,12.69
2024-07-31 00:00:00,12.55
2024-08-31 00:00:00,12.16
2024-09-30 00:00:00,14.24
2024-10-31 00:00:00,13.9
2024-11-30 00:00:00,14.08
2024-12-31 00:00:00,14.23
2025-01-31 00:00:00,13.84
2025-02-28 00:00:00,14.07
2025-04-30 00:00:00,13.93
2025-05-31 00:00:00,13.72
2025-06-30 00:00:00,14.13
2025-07-31 00:00:00,14.66
2025-08-31 00:00:00,15.72
2025-09-30 00:00:00,15.85
2025-10-31 00:00:00,16.19
2025-11-30 00:00:00,15.95
2025-12-31 00:00:00,16.3
2026-01-31 00:00:00,16.9
2026-02-28 00:00:00,17.09
2026-03-31 00:00:00,16.13
2026-04-30 00:00:00,16.99
2026-05-31 00:00:00,16.68
